Username,Total reviews,Location,Date,Content,Rating,Polarity,Subjectivity
HASSAM,131 reviews,PK,"Aug 28, 2024","I ordered one Rolax watchJust Waste Time and money. When I order First they take much more time for delivery. After a long wait Delivery boy, send a location for Order Delivery, when I receive Order, Delivery Didn't allow to check the order he first receive the money. When I open the order Rolax watch was broken , his needles was broken. I asked delivery boy for return he's tell me for contact rolax company. So I totally waste my money and time.Date of experience: August 28, 2024",1,-0.03,0.32
Myron Jenping Chiu,389 reviews,GB,"Jul 29, 2024","My sisters and I visited Rolex store…My sisters and I visited Rolex store inside Selfridges on 5th July. We were shocked by the unfriendly attitude from a shop assistant (we did not get his name but for the purpose of identification purpose, he appears to be black while another assistant appears to be of Asian origin who was serving another customer at the time). When he talked to us, we told him that we were looking for a specific model of Rolex. He did not smile at us and he told us to do our research as that Rolex model was not available in the store. He made us feel un-welcome in the store and seemed to look down on us. What kind of customer service was that! Unacceptable! Clearly he may need another training from Rolex or Selfriges. Date of experience: July 05, 2024",1,-0.04,0.38
Tony Uttley,553 reviews,GB,"Updated Aug 1, 2024","Rolex prove they are the bestDATE OF PROBLEM' NOVEMBER 2018Had a problem with condensation inside my Rolex just after it had been serviced. I pointed out to Rolex it had  just been serviced so should be perfect and water tight full stop. Rolex agreed and totally replaced everything inside the watch at their cost of ove r2500 euro and gave me a brand new register number and card as it was basically a totally new watch. 10 out of 10 for customer serviceDate of experience: July 22, 2024",5,0.24,0.58
Consumer,2 reviews,GB,"Jul 15, 2024","Went into Rolex at Rome Airport and was…Went into Rolex at Rome Airport and was told I couldn’t buy a Rolex from them, they did not have any for sale and you could not go on a waiting list.What a wast of time (excuse the pun) having an outlet that can’t sell you anything and the staff was has helpful as an hand break on a canoe. Date of experience: July 15, 2024",1,-0.05,0.05
kodi Prajwal,2 reviews,IN,"May 5, 2024","Rolex actually uses quite a few…Rolex actually uses quite a few different mechanical movements. In case what you mean is: ""Does Rolex use battery-powered Quartz movements?"" the answer is no. They only produce watches that use mechanical calibers powered by springs. There was a time long ago when Rolex produced the Rolex Oyster Quartz which had a battery but they have almost immediately stopped producing this watch. Nowadays, all Rolex watches are mechanical and use either automatic (self-winding) movements or in some cases, a manual wind movement.Date of experience: May 01, 2024",5,-0.08,0.43
Muhammad Zahab Jamali,24 reviews,GB,"Feb 11, 2024","Rolex store at MadinaRolex store at Madina, KSA - their prices for submariner werr higher from official rolex prices amd they also placed a condition that if i want to get it, i must also buy a tudor watch with it.When asked you made this condition, they said their shop, and they can place any condition.Very unfair and disappointing.Date of experience: February 11, 2024",1,-0.12,0.75
Mark S London,1 review,GB,"Updated Jan 20, 2024","Don't buy a new RolexMy wife's Oyster Perpetual suddenly stopped and I could hear a scraping sound inside - sounded like the internal self winder had come adrift. Took it to a recognised Rolex repair centre as the watch was purchased 6 years ago (one year outside of the Rolex warranty). The report was that it had sufferd a large knock so had to have a complete service as well as new glass etc - total £780.....I've had my Rolex for 35 years and never had a service and it works perfectly. I just do not believe new Rolex watches are manufactured to the same standards.Date of experience: January 04, 2024",1,0.18,0.42
Mr Charles de Rohan,1 review,GB,"Apr 5, 2024","Don't ever buy one!Don't ever buy one!I've read a couple of similar experiences here that I have had with my wife's Oyster.It has always run a little fast, and although discussed at each service this has never changed.Then one day it stops, WITHOUT and large knock or similar, and I can hear a rattle inside that is clearly a moving part that has come adrift.To be clear, she's 62 years old and is comparatively sedentary, the watch being worn daily, but always taken off at night and when bathing (even though of course it is waterproof!). Rolex's response is that they will repair, but only at an exorbitant cost. My opinion is that this is the horological equivalent of a ""Friday car"" from the 70's - it has NEVER been accurate, in spite of Rolex's so-called ""Quality Checks""Really disappointed in both the product and the customer service.Date of experience: April 04, 2024",1,0.01,0.47
siamak,6 reviews,GB,"Updated Dec 27, 2023","I met Ben Rogers from Rolex boutique in…I met Ben from Rolex boutique in Glasgow in May 2023 and he and his team have been great during that time with their customer service and delivering the watch that he had promised on a timely manner.I had been waiting for a Submariner date since June 2019 and Ben told me I will get it before Christmas and I picked up the watch in December.Great customer service.A big thank you to everyone at Rolex Glasgow boutique.Kind regards and best wishes for 2024Date of experience: December 12, 2023",5,0.6,0.38
Mr Ian Cuthbertson,3 reviews,GB,"Feb 24, 2024","Disappointed Rolex ordering experienceResearched which Rolex I wanted. Booked an appointment at Goldsmiths in Leicester where I was led to believe that I would be able to see my chosen watch and have wrist band adjusted to match my watch when it was available. I turned up for my appointment in store, to order my Rolex, but huge disappointment!!They didn’t have my chosen watch available to view. I travelled an hour and a half, had difficulty parking and literally sat down with the Rolex advisor for 5mins to register my intent to purchase. Poor form. Not impressed especially as they knew which watch I was coming in to purchase.   Date of experience: February 23, 2024",1,-0.03,0.61
Pip Williams,18 reviews,NZ,"Updated May 10, 2024","Rolex are sizeist!Rolex are sizeist!! They simply  don't  make  watches  for smaller women. I looked  at  their models so often & in different countries when travelling  & have never seen one with a dial less than 3.6 cm diam. Even looking  in jewellers' shops today this hasn't  changed. My traveling days are over now  but it would have been a good investment  to leave to my daughters. My wrist  is 13.5 cm in circumference  and measures 4 cm across. This hasn't  changed  in the  last 20 years. A Rolex  ladies' watch  would have not  only  looked  ridiculous  but  also  been uncomfortable  to wear.Looking  at their latest  models  it seems  they  have  not  changed  their  ideas Why are they so discriminatory  against  smaller women?I eventually  bought a nice gold Longines  watch (dial 19 mm diameter) which looks nice,  keeps good time, is comfortable  on the wrist- just unfortunately  not such an asset to leave to the family as a Rolex would  have  been. Nb your  site only allows for opinions formed within the last 12 months. My experience  spans from  2005-2019.Date of experience: May 10, 2023",1,0.14,0.64
Sss Ggg,2 reviews,AU,"May 6, 2023","Rolex = OligarchyI was in a Rolex store in Sydney and an older couple (60s) came into the store.  The husband wanted to buy his wife a Rolex for her birthday. Yes, you know the disgust the sales person gave them - the “you-can’t-just walk-in-to-buy-a-Rolex” with rolled eyes look. My millionaire boss received his brand new Rolex Sky-dweller 3 weeks after ordering.  I know few people with “connections” (aka millionaires) have no issues buying a Rolex from an authorised Rolex store.So, is there genuine shortage because each piece is handmade and Rolex is struggling to meet demand or is there shortage only to the common peasants?Date of experience: January 04, 2023",1,0.03,0.48
Paul Jefferies ,2 reviews,GB,"Updated Apr 20, 2021","Great watches, shame about their ADsGreat watches, shame about their Authorised Dealers.  Love to buy two Rolex watches for me and my wife.  Unfortunately, their ADs needs a complete overhaul.  Nothing but a bunch of elitists only willing to serve existing customers who've spent ~£50k+ on existing watches/jewellery. Absolute scam.So much for the Rolex buying experience.Date of experience: April 20, 2021",2,0.16,0.63
Michelle ,1 review,GB,"Jul 10, 2023","Excellent CommunicationsGreat, speedy service. Needed some guidance about my Sea Dweller, all the information I needed came back extremely quickly in an email, gave me something to work with when visiting my local Rolex dealership. Can't fault the Rolex service.Date of experience: June 25, 2023",5,0.33,0.38
Laiaj,7 reviews,GB,"Sep 24, 2019","I am using Rolex watch few years it’s made very poor qualityI am using Rolex watch few years I never had accurate time every day go 1 minutes faster . Once the watch fell on the floor from from 3 feet above watch gone badly damage I can’t believe that expensive watch gone damage fell just 3 feet up. Rolex watch made very poor quality. I have sent to Rolex for repair Rolex service centre want three thousand pounds for repair I am really disappointedDate of experience: September 24, 2019",1,-0.23,0.45
Daniel Lopez,30 reviews,US,"Updated Mar 7, 2024","Poor shoddy service The fact that a large company like Rolex botched this sale is inexcusable. The company could not verify if part of my payment of $11,000 is in their possession. Due to this horrible experience I canceled my watch order and asked for a full refund. The mgr at the Palm Desert Rolex jewelry store was of little or no help at all. We went to the bank this morning and called a the manager Jodi. Who said she was refunding my $11,000 immediately. As of 4 pm I still don't have ANY of my money back. I would never recommend anyone to shop at this store. My total amount yet to be refunded is $11,000.00Date of experience: March 02, 2024",1,-0.16,0.52
nicolas Garcia,7 reviews,US,"Aug 30, 2023","Reading all these stories about how…Reading all these stories about how people can’t get a Rolex from an Ad because of this and that makes me laugh 😂 The worst part is people go a talk down on the brand and never experienced a Rolex watch when Rolex is by far the strongest brand in the world.  No other brand looks out for its customers like Rolex does.  Keep trying while I go to my local AD and buy another one.Date of experience: August 29, 2023",5,-0.16,0.52
Jacjacs,49 reviews,GB,"Aug 1, 2019","ValuationHad to obtain a written valuation of my watch for a new insurance company.  Bit surprised as was not making a claim but attended my local DMR jewellers and the Assistant was extremely helpful from the outset.  I had to contact on numerous occasions as the Insurance Company were asking for specifics! and each time the Assistant  able to deal with this at each stage.  Over the couple of weeks, she managed to sort it out - as a reputable jeweller, she had not come across this. Her patience/help was invaluable.Date of experience: August 01, 2019",5,0.16,0.61
Tony,1 review,GB,"Nov 6, 2021","Old Bond Street LondonOld Bond Street London. Had an amazing experience last Thursday 4/11/2021. We was incredibly well looked after by the doorman Charles what a warm, welcoming character. We sat for almost an hour with the lovely Laura who took great care of us and listened to what we wanted to purchase. Look forward to our visit again hopefully very soon. Thanks guys it was a great start to our short stay in London.Date of experience: November 06, 2021",5,0.43,0.52
Alex Neal,1 review,GB,"Jan 10, 2022","Save yourself the headache and disappointment and find a different brandIve always wanting to own a Rolex i decided that after i hit a mile stone in my career i should mark it with my dream watch. I have tried two authorized dealers and have quickly learned that unless you are willing to spend thousands of pounds on watches (not Rolex) and Jewlery that you just don't want or need. Then you have no chance of purchasing one unless you turn to the grey market and pay over the odds. Seem like Rolex have no power over their sales and the dealers are using this to their advantage. sad really! beautiful watches with a bad buying experience.Date of experience: January 10, 2022",1,0.02,0.67
lars r�tzou,2 reviews,DK,"Updated Aug 9, 2016","No service/guaranteeThe newly bought Rolex watch has a mechanical failure and consequently need a repair.  However, Rolex or their dealer insist that the customer pay for the transport to Switzerland i.e. about Euro 150. Alternatively the dealer suggest they will repair the watch, however against payment ! ""World wide service and world wide guarantee of five years......"" is what Rolex claim they offer you, however, the fact is somewhat different.Date of experience: July 30, 2016",1,-0.11,0.39
Rudi,7 reviews,DE,"Aug 5, 2018","Good product and bad serviceGood product, unfortunately the service in some of the boutiques is very unsatisfactory due to the fact that you get judged by your appearance. This is really appalling customer service. I know many people that have bought from other brands for this same reason. That is so old fashioned to judge a customer based on the appearance. Rolex needs to get their act together as this will make new and loyal customers change brand quickly. The products are great and nothing bad can be said in regards of quality or craftmanship.Date of experience: August 05, 2018",3,0.04,0.55
Marty Venance,4 reviews,US,"Jan 17, 2019","Great quality, but terrible service..While Rolex offers good, quality watches, their store employees are very snobbish, downlooking on people who they assume ""can't afford their products"". Don't judge a book by it's cover.Date of experience: January 17, 2019",3,0.16,0.53
Kenneth Graham,131 reviews,GB,"Sep 20, 2022","Shocking service by Rolex & Northern Gold SmithsSo I bought a Rolex 3 month ago I have wore it once and do not like it gold on the bracelet just not my thing so I put it up for sale selling it for what I bought it for making no profit.I got a call from the dealer who I bought the watch from questioning that Rolex have brought to there attention im selling the watch I explained why and now Northern Gold Smiths in Newcastle upon Tyne have now black listed me and said my account has now been taken away worst watch experience I have ever had.Going to stick with Britling and Omega.Date of experience: September 20, 2022",1,-0.72,0.81
Mundeep,389 reviews,GB,"Jul 20, 2021","Harrods Rolex store experienceI recently visted the Rolex store in Harrods and i must say that i had a great experience. I have been looking for a specific sports watch for over 18 months and been on numerous waiting lists. I walked into the store and was greeted by Ali. It can always be a daunting experience however Ali was very welcoming and we had a great chat about watches, personal life and what i was looking for. I am still waiting for the Rolex is really want but definately helps when the authorised dealers get to know you and you get to know them.Date of experience: July 20, 2021",5,0.25,0.4
eric,553 reviews,GB,"Nov 25, 2023","Had my Rolex GMT 1984 gradually lost…Had my Rolex GMT 1984 gradually lost time after a major London service in 2018. Went back 2 years later after the lost timing got much worse. They agreed to correct the timing free of charge. During the next  2 years the exact same thing happened again. This time they wanted over 1000 pound for a service that was never corrected after the last full service in 2018. My conclusion is the 2018 service was a scam.Date of experience: November 24, 2023",1,0.07,0.29
James Lawson,52 reviews,ID,"Sep 5, 2023","Superb customer service from Jose in…Superb customer service from Jose in Terminal 2 Heathrow. Jose went over and above to explain details and answered all our queries from myself and my wife. Best customer service from Rolex I have ever had.5 stars for Jose.Date of experience: September 04, 2023",5,0.67,0.47
S Ms,2 reviews,GB,"Jul 22, 2021","Rolex boutique one Hyde parkOn Sunday my husband and I went to Rolex boutique in knightsbridge to ask for availability of a particular watch. A lady served us but she was really unwelcoming and cold. I showed her the photo and she said we don’t have it; I suggested to keep my details and she accepted reluctantly. I really felt uncomfortable and had bad feeling the way she treated us. I emailed my complaint to all the email addresses I found in the internet but no one bothered to reply.I expected a better customer service from a highly prestigious company!Date of experience: July 22, 2021",1,-0.1,0.5
S.T.,9 reviews,GB,"Aug 9, 2020","The London Service Centre staff are top notch.I had a query in relation to a submariner-specification crystal I'd acquired in the course of a transaction, and contacted the London RSC to discuss authentication. I was invited to come in and bring the crystal for inspection. The RSC staff were courteous, civil, thorough, and prompt in assessing the crystal, and declined to bill me.You don't take your Mercedes to a fellow who specialises in Fords, why would you even consider doing likewise with your timepiece? The Rolex Service Centre in London is staffed by consumate professionals. Your watch is in safe hands with them.Date of experience: August 09, 2020",5,0.53,0.67
Mongo,14 reviews,ES,"Jun 4, 2021","22-years with my DatejustI bought my Datejust in my mid-twenties with money I'd spent years slowly saving. I've since worn it daily and lived in many different countries with it. In 2012-2013, I travelled round the world and wore it in deserts, jungles, beaches, oceans and mountains. The maximum temperature was 49 C (120 F) in Central Australia and lowest around -28 C in Poland. After all that time, it still keeps perfect time (I've never had it serviced) and the crystal has no scratches. The only sign of age is the metal Oyster strap, which has stretched a little and is quite scratched. I've always treated the watch like a tool and swim in it four times a week. It's the watch I'll probably wear until I die, but  if anything happened to it I'd buy a classic Explorer.Date of experience: June 04, 2021",5,0.07,0.41
Wayne Buckley,3 reviews,GB,"Jun 22, 2023","ROLEX IS SCAMROLEX IS SCAM. I saw an advert online where I can get the watch for 40,000USD and on getting to the store, the attendant told me it goes for 45,000 USD. I had to go into my trading portfolio with PlanOff to take out the balance of 5k to pay the balance. This is misrepresentation and you can be sued for it.Date of experience: June 20, 2023",1,0.2,0.4
Dr. Alexandros Paraforos,1 review,DE,"Apr 22, 2023","Every watch a dreamEvery watch a dream, a legend everybody is starring when you have it on! Classic or not it is permanently so stylish and presents a superior class of luxury…don’t be anymore usual, be something unique!Date of experience: April 22, 2023",2,0.28,0.58
Mr Mcgregor,2 reviews,GB,"Mar 24, 2024","Follow up appointment with Carol Bain…Follow up appointment with Carol Bain in the Glasgow boutique store. Really personable experience from Carol during our visit - would highly recommend to anyone looking to buy a Rolex. Ask for Carol!!Date of experience: March 22, 2024",5,0.18,0.37
Andrew Griffiths,3 reviews,GB,"Jun 23, 2023","Rolex are trying to cheat me out of a…Rolex are trying to cheat me out of a warranty claim - they lied - changed their story and now they are using the big company tactics. Really sad to see such a brand behave so disrespectfully and dishonestly.Date of experience: June 23, 2023",1,-0.17,0.53
Hamza Ali,13 reviews,GB,"Jun 16, 2023","Overrated overpricedOverrated overpriced, bad customer service really bad experience really bad management really bad knowledge about the watches and you just get ripped off and do not take good care of you got a watch and it broke down after. Yeah really bad overrated overpriced would not recommendDate of experience: June 12, 2023",1,-0.42,0.6
Alex,2 reviews,CA,"Dec 6, 2017","Horrifying employees at rolexThe empolyees at rolex are very judgmental. I went in to tell them that my newly purchased Explorer had a scratch on it when i inspected it at home. The lady argued that every watch has a plastic on the back. Funny because the 1 i tried on did not. I am nit professionally dressed but I sure as hell make 5 times the salary of those low life workers. She did not believe me abiut the scratch! I am going to another AD tomorrow to speak to a manager because if they dont help me I will request surverillance footage to prove it. If this does not go well I am going to give then a bad review everywhere I go.Date of experience: December 06, 2017",1,-0.05,0.52
Cassie Mckenzie,1 review,CA,"Jul 12, 2018","Male Friend was snubbed at storeI went in with my friend, who can actually afford one of their watches, but the employees took one look at him and completely ignored him. He was there to buy a submariner but left empty-handed because they judged him. Can't recommend them to anyone who doesn't look like Don Draper, I guess.Date of experience: July 12, 2018",1,0.03,0.15
Brad Henshaw,3 reviews,US,"Jan 13, 2024","Rolex doesn't careI sent in my grandma's 1920's oyster watch that no longer worked since the 70's.  About 3 weeks went by and I got a call from Rolex dealer saying that it was not fixable and there are no parts available for this museum piece as they called it.  So I picked it up and went to the mall as we where walking through the malI I  see a watch repair place, I figured what the hell so I take it in and the little old guy looks at it for a minute and then says give me 30 minutes.  I came back and it was working, it just needed to be cleaned and lubed he charged 30 dollars.  It showed me Rolex's true colors and I won't be buying one with customer service like that.  Especially since when I sent it in I was told a Rolex tune up was 800 to 1300 dollars to start and I was willing to pay that.Date of experience: January 12, 2024",1,0.13,0.5
sophie stone,6 reviews,GB,"Nov 13, 2020","Order never arrivedI ordered some boots almost four weeks ago, my order was confirmed but I have not had any further delivery information. I have emailed four times attempting to chase this and only had one response email saying that they will 'look into it' over a week after my original email!The customer service is extremely slow and poor and you may never get your order! Definitely would NOT recommend!!Date of experience: November 13, 2020",1,-0.0,0.68
James,6 reviews,AU,"Nov 15, 2022","Do NOT buy a Rolex.Do NOT buy a Rolex.The watches may look nice but they are chronically unreliable and then unbelievably slow (very many months) and very expensive (thousands of dollars) to service.You will pull your hair out with frustration and disappointment owning a Rolex.Date of experience: November 11, 2022",1,-0.06,0.67
